동,주택가 기준 배송 난이도,택배 물동 예측량,1인가구비율,무인택배함개수
서울특별시 종로구 사직동,0.168473388,0.304123515,0.469097698,0.090909091
서울특별시 종로구 삼청동,0.149563942,0.158427157,0.442994034,0
서울특별시 종로구 부암동,0.473958758,0.278261887,0.346538892,0
서울특별시 종로구 평창동,0.902926074,0.3803332,0.219388317,0
서울특별시 종로구 무악동,0.019806015,0.294544323,0.168656226,0.181818182
서울특별시 종로구 교남동,0.08248431,0.305735499,0.343271777,0
서울특별시 종로구 가회동,0.203684082,0.233812684,0.436782268,0
서울특별시 종로구 종로1·2·3·4가동,0.109299861,0.169704953,0.837361867,0.090909091
서울특별시 종로구 종로5·6가동,0.186812291,0.112937579,0.761184597,0
서울특별시 종로구 이화동,0.231233189,0.195121341,0.680435351,0.090909091
서울특별시 종로구 창신1동,0.108973836,0.175052489,0.565767519,0.090909091
서울특별시 종로구 창신2동,0.243703643,0.23319369,0.444546117,0
서울특별시 종로구 창신3동,0.087700709,0.303743665,0.258516163,0
서울특별시 종로구 숭인1동,0.169043932,0.252982756,0.4645318,0.090909091
서울특별시 종로구 숭인2동,0.150379004,0.249987416,0.750898909,0.181818182
서울특별시 종로구 청운효자동,0.496128454,0.291262944,0.341726407,0.090909091
서울특별시 종로구 혜화동,0.484799087,0.372718578,0.708349072,0
서울특별시 중구 소공동,0.002934224,0.112100151,0.584452215,0
서울특별시 중구 회현동,0.064634445,0.27969202,0.53030518,0
서울특별시 중구 명동,0.039693537,0.129506942,0.692012349,0.090909091
서울특별시 중구 필동,0.097318445,0.24365428,0.674702239,0.090909091
서울특별시 중구 장충동,0.155187872,0.177282044,0.729018663,0.272727273
서울특별시 중구 광희동,0.098133507,0.206143456,0.686413755,0
서울특별시 중구 을지로동,0.012959491,0.037317468,0.905502263,0
서울특별시 중구 신당5동,0.171815144,0.457468651,0.54359451,0
서울특별시 중구 황학동,0.107262206,0.424761844,0.593678645,0
서울특별시 중구 중림동,0.076045318,0.454519099,0.385122263,0
서울특별시 중구 신당동,0.243866656,0.316332931,0.697979952,0
서울특별시 중구 다산동,0.396201809,0.454285408,0.477913384,0.363636364
서울특별시 중구 약수동,0.137419513,0.755904361,0.342887707,0.363636364
서울특별시 중구 청구동,0.145407124,0.481379589,0.394617884,0
서울특별시 중구 동화동,0.072866574,0.503497035,0.223558758,0
서울특별시 용산구 후암동,0.532480235,0.359818552,0.465086782,0.090909091
서울특별시 용산구 용산2가동,0.330507784,0.192673987,0.520755655,0
서울특별시 용산구 남영동,0.181106855,0.165279965,0.804773354,0.181818182
서울특별시 용산구 원효로2동,0.161789877,0.426244642,0.339455806,0
서울특별시 용산구 효창동,0.126579183,0.250221883,0.31405688,0.272727273
서울특별시 용산구 용문동,0.109218355,0.405478716,0.374345914,0
서울특별시 용산구 이촌1동,0.005134893,0.681453867,0.118152861,0.090909091
서울특별시 용산구 이촌2동,0.048985247,0.450886841,0.268580275,0.090909091
서울특별시 용산구 이태원1동,0.267829489,0.208673214,0.592879153,0.272727273
서울특별시 용산구 이태원2동,0.365555465,0.214606601,0.559344584,0
서울특별시 용산구 서빙고동,0.223571603,0.459587132,0.278872254,0
서울특별시 용산구 보광동,0.577634689,0.341777169,0.583822908,0.090909091
서울특별시 용산구 청파동,0.59124623,0.423848044,0.668756959,0.181818182
서울특별시 용산구 원효로1동,0.138397587,0.362007969,0.480153122,0.090909091
서울특별시 용산구 한강로동,0.249572092,0.388542647,0.524866189,0.181818182
서울특별시 용산구 한남동,0.668269623,0.386336362,0.542729897,0.272727273
서울특별시 성동구 왕십리2동,0.163990545,0.554103372,0.387278856,0.090909091
서울특별시 성동구 마장동,0.323742766,0.558412255,0.456136425,0
서울특별시 성동구 사근동,0.223408591,0.454295902,0.855173344,0.090909091
